tic_ids,periods
257436461,33.122
435339847,20.686
337607207,8.733
39936432,29.439
392469577,17.988
266014079,9.007
14570099,30.178
179032688,24.824
376938120,33.119
187309502,20.866
333605244,26.33
366631954,24.244
307733361,4.263
332022997,9.117
238608004,18.253
376939759,40
418761354,33.122
293460551,30.19
12822545,16.414
187960878,16.826
440687723,23.532
175241633,11.113
7059054,10.187
297146957,35.639
38258419,21.761
2621212,15.821
175265494,10.788
293375721,16.23
175194958,17.125
380884458,30.5
187273811,13.625
175290532,40
26078330,8.891
195193025,24.244
14635562,33.181
677945,12.03
115072772,26.855
12181371,26.812
741596,29.005
146799150,12.677
90090343,23.688
294319820,23.065
458686847,9.179
423358488,14.466
125060509,13.047
175262071,11.457
113979956,35.822
376936928,40
135043332,7.056
14111411,25.266
2521105,17.997
332024125,20.239
434226736,1.878
11023038,17.552
15756231,2.844
12770870,17.263
86130229,9.557
197246627,36.182
422349422,28.418
441907126,14.436
10195089,40
335102224,40
396972464,15.393
184914317,21.954
49652731,23.218
301258470,12.356
68504570,12.226
446672575,7.849
291090078,14.823
49040478,6.28
4610830,12.356
428820090,9.655
281731203,18.794
301610040,11.428
175193677,8.33
363445338,7.698
335322931,15.016
363445121,8.517
27039476,18.132
301235044,7.044
323687123,4.338
345063080,14.053
380619414,6.562
436575927,28.531
38064757,13.341
277869696,7.999
397022282,21.062
38087018,21.062
18310799,14.768
281886199,14.294
5882269,8.854
150096001,36.347
456945304,13.289
49462779,19.057
50171060,17.077
388804061,36.367
422487869,23.366
82050863,36.367
363444743,14.294
173090902,20.009
443616612,9.763
392817207,6.637
432247315,10.868
903075188,21.062
61312205,36.279
