starname,tic_id,mass,mass_mc_err,mass_observed,mass_resid,age_log10yr,age_gyr,age_gyr_mc_err,age_observed,age_resid,feh,feh_mc_err,feh_observed,feh_resid,AV,AV_mc_err,distance_pc,distance_pc_mc_err,chi2,dof,red_chi2,success,message,bands_used,used_teff_initial,used_feh_initial,used_age_initial,BP_mag_obs,BP_mag_model,BP_mag_resid,G_mag_obs,G_mag_model,G_mag_resid,RP_mag_obs,RP_mag_model,RP_mag_resid,J_mag_obs,J_mag_model,J_mag_resid,H_mag_obs,H_mag_model,H_mag_resid,K_mag_obs,K_mag_model,K_mag_resid
K2-136,18310799,0.7159431816566947,0.007828531429306696,0.742,-0.02605681834330531,9.3417742523167,2.196717714953543,0.3120101169418815,0.65,1.5467177149535432,0.05881257156533329,0.12761610912234533,-0.02,0.07881257156533329,0.11175898714828277,0.21465503026722538,58.89652688321108,0.35189341219770653,14.13537897936266,3,4.711792993120887,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,11.5397526969,11.493394923357133,-0.04635777354286752,10.8536767534,10.853285774509457,-0.000390978890543181,10.0526718772,10.098709457806102,0.04603758060610197,9.096,9.127069785567056,0.03106978556705542,8.496,8.462947966942092,-0.03305203305790805,8.368,8.35865075079599,-0.00934924920401059
K2-370,456945304,0.9469906300551353,0.015168413338416271,0.984,-0.0370093699448647,9.699405868341355,5.005020588751368,0.06276434899696792,nan,nan,0.018247775386783363,0.09962444036551338,0.018,0.00024777538678336444,0.28024271229291625,0.08546503883404742,140.9563852302821,1.99041340849558,0.8027122156029494,3,0.26757073853431645,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,11.28410971593,11.278832519055298,-0.005277196874702739,10.8858424226,10.884157428145086,-0.0016849944549139906,10.3135873764,10.322743063769554,0.009155687369554855,9.667,9.671545647721345,0.004545647721345247,9.247,9.286933270650406,0.03993327065040653,9.237,9.22741572117502,-0.009584278824979364
K2-133,150096001,0.4688342905842593,0.004228420062141716,0.461,0.007834290584259274,9.200993503577903,1.5885229863962214,0.4989574308105272,nan,nan,-0.14498240800439277,0.03211013014436453,nan,nan,4.424551627041542e-19,0.001088480810103088,75.31252366423844,0.5665249211930004,15.662622540037669,2,7.831311270018834,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,False,False,14.291240668927,14.231793181881782,-0.05944748704521707,13.30875312509,13.305538755727824,-0.003214369362176228,12.32011680628,12.37679525239337,0.05667844611337003,11.084,11.125869033811837,0.04186903381183704,10.487,10.451195656689839,-0.03580434331016136,10.279,10.262178496796638,-0.016821503203361843
K2-394,436575927,0.48430991580222943,0.006494453912825876,0.478,0.006309915802229449,7.029548513209366,0.010704059467780669,0.0001142463015851419,nan,nan,-1.0070226177745656,0.04538658658852544,-0.388,-0.6190226177745656,5.804787108235885e-14,2.6718691385807193e-06,98.48377824759633,0.9736070474958917,52.35380537118563,3,17.451268457061875,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,12.93825497119,12.944595765771977,0.006340794581976894,12.19776993684,12.223444956280861,0.025675019440861035,11.36321837697,11.414051219993663,0.05083284302366309,10.345,10.365235547454873,0.020235547454872105,9.726,9.681697149988508,-0.04430285001149237,9.568,9.534848595646068,-0.033151404353931824
K2-291,27039476,0.9449830046182417,0.011707835144908947,0.934,0.010983004618241643,9.483431972866581,3.043911159720796,0.124967339109177,3.72,-0.676088840279204,0.057088958070587864,0.06694669080428325,0.08,-0.022911041929412138,9.811150047825613e-15,0.04642690656388684,89.57870215113985,0.7952569562041129,0.4589293229254464,3,0.15297644097514881,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,10.2372085953,10.229509645773115,-0.007698949526885102,9.8704684379,9.872241127583651,0.0017726896836514072,9.3361446632,9.349824120099479,0.013679456899478026,8.765,8.772807106806495,0.007807106806493991,8.407,8.400210518988217,-0.006789481011782783,8.353,8.354039330470647,0.0010393304706468598
K2-284,5882269,0.6379346781868787,0.007772667744625946,0.63,0.007934678186878652,8.645475188371723,0.44205386122571294,0.3780327664844268,0.12,0.32205386122571295,0.07144078271394656,0.059047560879016775,0.0,0.07144078271394656,1.3565845235519131e-28,0.07125309715700721,106.1124137079086,1.122684280154588,6.534323700985338,3,2.178107900328446,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,13.66844254547,13.624717938266805,-0.043724607203195376,12.8514587102,12.851088203971686,-0.0003705062283128058,11.9669583118,12.008739721974822,0.0417814101748224,10.868,10.901628622077721,0.033628622077721104,10.206,10.18394304957209,-0.022056950427909783,10.058,10.049470496607775,-0.008529503392225024
HD 73344,175193677,1.2085695602181172,0.013417632692141059,1.2,0.008569560218117278,9.062343028303083,1.1543646749137801,0.04963350403468361,1.15,0.004364674913780231,0.11586629084896734,0.0984526976969041,0.143,-0.02713370915103265,0.11972468480960484,0.06605305333910581,35.24541585795692,0.1246410160666824,4.077764518521139,3,1.3592548395070463,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,7.03386967,7.037088588443853,0.003218918443853802,6.762599362,6.760443141955643,-0.0021562200443563384,6.326160786,6.321444275596183,-0.0047165104038171535,5.836,5.860928611865998,0.02492861186599793,5.64,5.594272803832482,-0.04572719616751808,5.567,5.559093225966693,-0.007906774033306974
K2-264,184914317,0.4729450804691768,0.00753418622275291,0.496,-0.02305491953082317,9.8579675631396,7.210536226635753,1.2170613610735104,nan,nan,0.21007462716309347,0.05893127411891029,-0.013,0.22307462716309348,0.11926740284020823,0.1266819170537976,178.7004466061649,3.144128701822333,12.278450317774642,3,4.092816772591547,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,16.919745362118,16.80813490372765,-0.11161045839034855,15.639098386956,15.626516747479142,-0.012581639476858086,14.519703039852,14.586756577653274,0.06705353780127332,13.047,13.071834202239664,0.024834202239663483,12.386,12.37546227911233,-0.010537720887668911,12.183,12.177284851541152,-0.005715148458847352
K2-415,323687123,0.5006562247672722,2.175664540661261e-09,0.1635,0.33715622476727225,10.1243,13.313737808311362,3.552802499973279e-15,nan,nan,0.49999996251179135,9.554193609512164e-10,-0.13,0.6299999625117914,1.1276049972335853,1.1063172739648572e-09,28.850062705895702,3.684871367334274e-08,35044.66566085661,3,11681.555220285538,True,`xtol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,15.535660084691,14.157782313584253,-1.3778777711067463,13.7703284421,12.434350496027536,-1.3359779460724646,12.5090578604,11.244014587006241,-1.2650432733937595,10.739,9.239269014973246,-1.4997309850267548,10.17,8.416414514688533,-1.7535854853114667,9.899,8.160031245155519,-1.73896875484448
K2-401,345063080,0.6821805537705079,0.013486209370191304,0.87,-0.1878194462294921,9.69917856598999,5.0024017314237605,0.32631462441142456,nan,nan,-0.15000919652663233,0.10799208633166438,-0.098,-0.05200919652663233,0.4151203102228744,0.20866493130314326,203.38920380991203,4.295757574760362,7.1990943989091924,3,2.3996981329697307,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,False,14.38405537212,14.33554620794287,-0.048509164177129804,13.679443031403,13.680331089511407,0.0008880581084067529,12.86871287905,12.913550597916446,0.04483771886644661,11.867,11.88859113989651,0.021591139896509404,11.266,11.224091580395585,-0.041908419604414604,11.106,11.111469970281025,0.005469970281025027
